site_location_name,site_location_id,site_location_visit_id,visit_start_date,transect,point_number,growth_form,height,veg_barcode,herbarium_determination,dead,in_canopy_sky,field_name
NSABHC0009,60021,53604,3-Sep-12,E1-W1,0,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,1,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,2,Tussock grass,0.1,NSA01533,Enneapogon avenaceus,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,3,Shrub,0.3,NSA01384,Atriplex vesicaria,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,4,Tussock grass,0.1,NSA01533,Enneapogon avenaceus,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,5,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,6,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,7,Shrub,0.15,NSA01372,Sclerolaena ventricosa,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,8,Shrub,0.2,NSA01392,Maireana astrotricha,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,9,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,10,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,11,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,12,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,13,Shrub,0.15,NSA01372,Sclerolaena ventricosa,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,14,Tussock grass,0.3,NSA01562,Panicum decompositum,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,15,,,,,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,16,Tussock grass,0.15,NSA01533,Enneapogon avenaceus,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,17,Shrub,0.4,NSA01384,Atriplex vesicaria,FALSE,FALSE,
NSABHC0009,60021,53604,3-Sep-12,E1-W1,18,Shrub,0.25,NSA01523,Sida intricata,FALSE,FALSE,
