Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
46033,1895,12.2,9.1,3.3,0,19.4,35.1,4.3,3.8,3.8,0,48,17,156
46033,1896,0,7.4,1.8,12.7,7.7,0,12.2,13.2,4.3,1.3,30.8,2.8,94.2
46033,1897,22.1,31,2.5,0,0,45,18.6,8.1,0,8.3,0,7.9,143.5
46033,1898,0,30.4,0,0,0,29.7,0,27.5,1.3,0,0,0,88.9
46033,1899,5.1,6.6,11.2,4.3,0,17.8,4.3,0,12.2,6.9,1.3,0,69.7
46033,1900,33.5,0,59.7,0,10.4,24.4,5.1,17.3,2.5,8.9,4.1,1.8,167.7
46033,1901,1.8,12.2,6.1,11.7,0,4.3,10.7,70.6,7.6,6.4,0,0,131.4
46033,1904,12.2,5.6,5.8,7.4,17.5,7.6,41.9,12.7,8.4,19.8,0,2.8,141.7
46033,1905,16.3,3.8,0,27.2,4.6,38.6,28.4,0,4.3,7.1,0,0,130.3
46033,1906,1.5,7.1,40.1,0,23.4,31,5.1,17.5,20.8,10.7,3,16.8,177
46033,1907,31.2,0,15.5,0,11.2,59.7,13.5,57.7,9.9,8.1,16,52.1,274.9
46033,1908,8.9,2.5,25.4,3.8,11.4,5.3,25.4,29.5,11.7,7.6,7.9,16,155.4
46033,1909,7.1,4.3,1.3,4.3,8.9,64.8,7.6,10.2,0,0,0,0,108.5
46033,1910,0,0,25.4,0,12.5,55.4,8.1,22.9,5.1,17.8,8.6,0.8,156.6
46033,1911,11.4,46.7,0,0,39.4,12.4,49.3,7.4,2.8,31.2,71.6,123.8,396
46033,1912,0,8.1,8.1,0,0,128,11.4,13,6.4,17.8,76.2,25.4,294.4
46033,1914,0,2,18.8,23.9,7.6,19.1,7.6,6.4,0,6.8,16.5,29.8,138.5
46033,1915,0.8,3.3,0,6.9,40.1,6.9,10.4,24.1,44.2,14.5,0,null,null
46033,1916,5.1,0,0,4.6,1.5,17.7,75.2,8.6,38.4,47.2,32,0,230.3
46033,1917,44.6,28.7,null,null,null,null,41.9,20.6,21.3,18,52.6,3,null
46033,1921,0,42.7,34,12.7,30.3,null,null,null,null,null,null,null,null
46033,1922,0,0,0,6.4,7.6,2.8,6.9,0,4.8,7.4,0,14,49.9
46033,1932,null,null,null,null,null,null,null,5.1,11.4,21.6,26.4,0,null
46033,1933,0,2.3,9.1,22.9,9.7,3.6,11.6,4.1,3.3,0,76.5,14.2,157.3
