Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
46033,1934,4.1,5.3,3.6,2.5,0,0.5,13.5,10.9,3.6,36.3,45.5,0,125.8
46033,1935,7.1,0,1.8,8.8,0,8.9,0,2.8,31.9,2.8,5.1,97.8,167
46033,1936,6.9,0,7.8,0,30.4,0,40.4,38,0,17,1.3,22.2,164
46033,1937,35.1,76.8,0,0,12.9,25.9,0,8.9,0,1.8,4,37.9,203.3
46033,1938,12.7,21.1,0,0,7.1,5.6,14.7,5.6,0,38.3,0,0,105.1
46033,1939,5.6,72.2,24.2,59.2,8.1,63.2,7.3,3.6,0,36.8,52.9,0,333.1
46033,1940,4.6,0,0,26.2,9.1,0,1.5,1.3,0,0,0,1,43.7
46033,1941,81.5,5.3,0,0,0,14.8,5.1,0,2,10.1,7.3,5,131.1
46033,1942,7.6,42.1,0,12.2,47.6,36.8,15.3,2.3,0,61,0,11.4,236.3
46033,1943,5.3,18.3,0,0,3.6,10.2,20,16.2,6.8,5.6,7.6,0,93.6
46033,1944,3,60.2,7.6,13.5,0,3.8,8.1,47.5,0,0,3.8,38.9,186.4
46033,1945,3.8,0,0,0,0,35.5,25.7,19.1,8.9,9.9,0,15,117.9
46033,1946,50.8,42.7,0,0,0,20.8,0,0,26.7,0,8.7,10.6,160.3
46033,1947,0,35.4,54.4,1.5,0,2.5,18.8,25.4,34,7.6,16.5,7.6,203.7
46033,1948,0,39.9,0,9.9,0,10.8,1.5,9.7,1.5,9.4,0.8,25.6,109.1
46033,1949,0,61.2,175.1,4.1,31,0,9.4,0,19.7,21.3,null,1,null
46033,1950,0,null,null,3.8,null,null,null,null,null,null,null,null,null
46033,1982,null,null,null,null,null,null,null,null,null,null,0.3,null,null
46033,1995,null,null,null,null,null,null,null,0,null,null,null,null,null
46033,1997,43.6,45.5,0,0,36.8,2.3,0.2,11.4,40.9,10.6,45.3,5.1,241.7
46033,1998,53.2,30.7,0,10.4,0,10.1,52.4,1.2,91.2,10.4,16,7.6,283.2
46033,1999,13.4,12.2,null,0,7.1,9.4,20.8,12.7,32.5,28.3,49.5,39.2,null
46033,2000,1.8,154.1,12.9,40.8,21.6,1.3,8.6,23.4,9.9,15.2,49.2,0,338.8
46033,2001,null,null,10.6,0,5.2,36.4,null,1.8,20.4,45,3,2.8,null
46033,2002,22.4,4.6,1.6,4.6,7.6,3.2,1.8,0,5.8,0,8.8,14.6,75
46033,2003,0,89.2,0,15.6,37.8,6.4,31,47.8,0,41.4,6.8,32.2,308.2
46033,2004,0,8.8,0,0,10.6,28.4,2.8,38,8.2,22.8,20.2,4.8,144.6
46033,2005,0,1,0,1,2.6,null,43.8,4,42.6,22.4,8,3.4,null
46033,2006,17.2,5,4.8,8.2,0,9.8,36.2,0,2.6,4.4,0,9.4,97.6
46033,2007,15.2,7.4,11.4,12.6,82.8,9.6,0,0,0,15.7,32.6,14.2,201.5
46033,2008,5.6,4.6,0,3,0,30,9.4,25.4,18,4,34.4,38.8,173.2
46033,2009,0,0,36,3.4,7.2,20.8,12.8,5.8,3.4,2,22.4,null,null
46033,2010,null,107.6,40.8,15.2,null,null,null,null,null,null,null,null,null
46033,2014,9.8,53.6,23.6,72,34,3,0,40,29.2,0,9.4,1.8,276.4
