"","site_unique","site_location_name","herbarium_determination","is_uncertain_determination","veg_barcode","standardised_name","standardised_scientific_name","kingdom","taxa_id","family","genus","specific_epithet","infraspecific_rank","infraspecific_epithet","taxa_status","taxa_group","genus_species","authorship","published_in","rank","visit_start_date","site_location_visit_id","primary_gen_barcode","secondary_gen_barcode_1","secondary_gen_barcode_2","secondary_gen_barcode_3","secondary_gen_barcode_4"
"11","NSABHC0029-58028","NSABHC0029","Acacia victoriae",FALSE,"NSA013365","Acacia victoriae","Acacia victoriae Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227143","Fabaceae","Acacia","victoriae","NA","NA","accepted","Equisetopsida","Acacia victoriae","Benth.","https://id.biodiversity.org.au/reference/apni/53841","Species","2016-09-12T15:35:12",58028,"NSA013366",NA,NA,NA,NA
"12","NSABHC0014-53609","NSABHC0014","Acacia victoriae",FALSE,"NSA05715","Acacia victoriae","Acacia victoriae Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227143","Fabaceae","Acacia","victoriae","NA","NA","accepted","Equisetopsida","Acacia victoriae","Benth.","https://id.biodiversity.org.au/reference/apni/53841","Species","2012-09-21T00:00:00",53609,"NSA05716",NA,NA,NA,NA
"13","NSABHC0014-53609","NSABHC0014","Actinobole uliginosum",FALSE,"NSA05601","Actinobole uliginosum","Actinobole uliginosum (A.Gray) H.Eichler","Plantae","https://id.biodiversity.org.au/name/apni/223046","Asteraceae","Actinobole","uliginosum","NA","NA","accepted","Equisetopsida","Actinobole uliginosum","(A.Gray) H.Eichler","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-21T00:00:00",53609,"NSA05602",NA,NA,NA,NA
"14","NSABHC0013-53608","NSABHC0013","Medicago minima",FALSE,"NSA05543","Medicago minima","Medicago minima (L.) L. ex Bartal.","Plantae","https://id.biodiversity.org.au/name/apni/238253","Fabaceae","Medicago","minima","NA","NA","accepted","Equisetopsida","Medicago minima","(L.) L. ex Bartal.","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-20T00:00:00",53608,"NSA05544",NA,NA,NA,NA
"15","NSABHC0029-58028","NSABHC0029","Alectryon oleifolius subsp. canescens",FALSE,"NSA013311","Alectryon oleifolius subsp. canescens","Alectryon oleifolius subsp. canescens S.T.Reynolds","Plantae","https://id.biodiversity.org.au/name/apni/191862","Sapindaceae","Alectryon","oleifolius","subsp.","canescens","accepted","Equisetopsida","Alectryon oleifolius","S.T.Reynolds","https://id.biodiversity.org.au/reference/apni/42942","Subspecies","2016-09-12T15:35:12",58028,"NSA013312",NA,NA,NA,NA
"16","NSABHC0009-53604","NSABHC0009","Anemocarpa podolepidium",FALSE,"NSA01408","Anemocarpa podolepidium","Anemocarpa podolepidium (F.Muell.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238248","Asteraceae","Anemocarpa","podolepidium","NA","NA","accepted","Equisetopsida","Anemocarpa podolepidium","(F.Muell.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01409",NA,NA,NA,NA
"17","NSABHC0009-53604","NSABHC0009","Anemocarpa podolepidium",FALSE,"NSA01580","Anemocarpa podolepidium","Anemocarpa podolepidium (F.Muell.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238248","Asteraceae","Anemocarpa","podolepidium","NA","NA","accepted","Equisetopsida","Anemocarpa podolepidium","(F.Muell.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/49840","Species","2012-09-03T00:00:00",53604,"NSA01581",NA,NA,NA,NA
"18","NSABHC0009-58026","NSABHC0009","Anemocarpa podolepidium",FALSE,"NSA013245","Anemocarpa podolepidium","Anemocarpa podolepidium (F.Muell.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/238248","Asteraceae","Anemocarpa","podolepidium","NA","NA","accepted","Equisetopsida","Anemocarpa podolepidium","(F.Muell.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/49840","Species","2016-09-13T11:11:06",58026,"NSA013246",NA,NA,NA,NA
"19","NSABHC0012-53607","NSABHC0012","Aristida anthoxanthoides",FALSE,"NSA05103","Aristida anthoxanthoides","Aristida anthoxanthoides (Domin) Henrard","Plantae","https://id.biodiversity.org.au/name/apni/244712","Poaceae","Aristida","anthoxanthoides","NA","NA","accepted","Equisetopsida","Aristida anthoxanthoides","(Domin) Henrard","https://id.biodiversity.org.au/reference/apni/44868","Species","2012-09-19T00:00:00",53607,"NSA05104",NA,NA,NA,NA
"20","NSABHC0010-53605","NSABHC0010","Aristida contorta",FALSE,"NSA01693","Aristida contorta","Aristida contorta F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/243785","Poaceae","Aristida","contorta","NA","NA","accepted","Equisetopsida","Aristida contorta","F.Muell.","https://id.biodiversity.org.au/reference/apni/44868","Species","2012-09-04T00:00:00",53605,"NSA01694",NA,NA,NA,NA
"21","NSABHC0014-53609","NSABHC0014","Aristida ramosa",FALSE,"NSA05703","Aristida ramosa","Aristida ramosa R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/198844","Poaceae","Aristida","ramosa","NA","NA","accepted","Equisetopsida","Aristida ramosa","R.Br.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-21T00:00:00",53609,"NSA05704",NA,NA,NA,NA
"22","NSABHC0009-53604","NSABHC0009","Arthropodium minus",FALSE,"NSA01546","Arthropodium minus","Arthropodium minus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/202763","Asparagaceae","Arthropodium","minus","NA","NA","accepted","Equisetopsida","Arthropodium minus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-03T00:00:00",53604,"NSA01547",NA,NA,NA,NA
"23","NSABHC0009-53604","NSABHC0009","Arthropodium minus",FALSE,"NSA01839","Arthropodium minus","Arthropodium minus R.Br.","Plantae","https://id.biodiversity.org.au/name/apni/202763","Asparagaceae","Arthropodium","minus","NA","NA","accepted","Equisetopsida","Arthropodium minus","R.Br.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"24","NSABHC0013-53608","NSABHC0013","Asphodelus fistulosus",FALSE,"NSA05495","Asphodelus fistulosus","Asphodelus fistulosus L.","Plantae","https://id.biodiversity.org.au/name/apni/234262","Asphodelaceae","Asphodelus","fistulosus","NA","NA","accepted","Equisetopsida","Asphodelus fistulosus","L.","https://id.biodiversity.org.au/reference/apni/8192133","Species","2012-09-20T00:00:00",53608,"NSA05496",NA,NA,NA,NA
"25","NSABHC0012-53607","NSABHC0012","Astrebla lappacea",FALSE,"NSA05425","Astrebla lappacea","Astrebla lappacea (Lindl.) Domin","Plantae","https://id.biodiversity.org.au/name/apni/215980","Poaceae","Astrebla","lappacea","NA","NA","accepted","Equisetopsida","Astrebla lappacea","(Lindl.) Domin","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-19T00:00:00",53607,"NSA05426",NA,NA,NA,NA
"26","NSABHC0011-53606","NSABHC0011","Astrebla lappacea",FALSE,"NSA01945","Astrebla lappacea","Astrebla lappacea (Lindl.) Domin","Plantae","https://id.biodiversity.org.au/name/apni/215980","Poaceae","Astrebla","lappacea","NA","NA","accepted","Equisetopsida","Astrebla lappacea","(Lindl.) Domin","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-18T00:00:00",53606,"NSA01946",NA,NA,NA,NA
"27","NSABHC0011-53606","NSABHC0011","Astrebla pectinata",FALSE,"NSA01947","Astrebla pectinata","Astrebla pectinata (Lindl.) F.Muell. ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/215981","Poaceae","Astrebla","pectinata","NA","NA","accepted","Equisetopsida","Astrebla pectinata","(Lindl.) F.Muell. ex Benth.","https://id.biodiversity.org.au/reference/apni/44408","Species","2012-09-18T00:00:00",53606,"NSA01948",NA,NA,NA,NA
"28","NSABHC0014-53609","NSABHC0014","Atriplex angulata",FALSE,"NSA05639","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-21T00:00:00",53609,"NSA05640",NA,NA,NA,NA
"29","NSABHC0012-58022","NSABHC0012","Atriplex angulata",FALSE,"NSA013859","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013860",NA,NA,NA,NA
"30","NSABHC0014-53609","NSABHC0014","Atriplex angulata",FALSE,"NSA05637","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-21T00:00:00",53609,"NSA05638",NA,NA,NA,NA
"31","NSABHC0012-53607","NSABHC0012","Atriplex angulata",FALSE,"NSA05043","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-19T00:00:00",53607,"NSA05044",NA,NA,NA,NA
"32","NSABHC0009-58026","NSABHC0009","Atriplex angulata",FALSE,"NSA013181","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-13T11:11:06",58026,"NSA013182",NA,NA,NA,NA
"33","NSABHC0012-58022","NSABHC0012","Atriplex angulata",FALSE,"NSA013807","Atriplex angulata","Atriplex angulata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/240078","Chenopodiaceae","Atriplex","angulata","NA","NA","accepted","Equisetopsida","Atriplex angulata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013808",NA,NA,NA,NA
"34","NSABHC0013-53608","NSABHC0013","Atriplex conduplicata",FALSE,"NSA05489","Atriplex lindleyi subsp. conduplicata","Atriplex lindleyi subsp. conduplicata (F.Muell.) Paul G.Wilson","Plantae","https://id.biodiversity.org.au/name/apni/111130","Chenopodiaceae","Atriplex","lindleyi","subsp.","conduplicata","nomenclatural synonym","Equisetopsida","Atriplex lindleyi","(F.Muell.) Paul G.Wilson","https://id.biodiversity.org.au/reference/apni/51428473","Subspecies","2012-09-20T00:00:00",53608,"NSA05490",NA,NA,NA,NA
"35","NSABHC0010-53605","NSABHC0010","Atriplex fissivalvis",FALSE,"NSA01761","Atriplex fissivalvis","Atriplex fissivalvis F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/205008","Chenopodiaceae","Atriplex","fissivalvis","NA","NA","accepted","Equisetopsida","Atriplex fissivalvis","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-04T00:00:00",53605,"NSA01762",NA,NA,NA,NA
"36","NSABHC0009-53604","NSABHC0009","Atriplex fissivalvis",FALSE,"NSA01388","Atriplex fissivalvis","Atriplex fissivalvis F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/205008","Chenopodiaceae","Atriplex","fissivalvis","NA","NA","accepted","Equisetopsida","Atriplex fissivalvis","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-03T00:00:00",53604,"NSA01389",NA,NA,NA,NA
"37","NSABHC0012-58022","NSABHC0012","Atriplex holocarpa",FALSE,"NSA013767","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013768",NA,NA,NA,NA
"38","NSABHC0012-53607","NSABHC0012","Atriplex holocarpa",FALSE,"NSA05037","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-19T00:00:00",53607,"NSA05038",NA,NA,NA,NA
"39","NSABHC0010-53605","NSABHC0010","Atriplex holocarpa",FALSE,"NSA01687","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-04T00:00:00",53605,"NSA01688",NA,NA,NA,NA
"40","NSABHC0012-53607","NSABHC0012","Atriplex holocarpa",FALSE,"NSA05171","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-19T00:00:00",53607,"NSA05172",NA,NA,NA,NA
"41","NSABHC0023-57099","NSABHC0023","Atriplex holocarpa",FALSE,"NSA06945","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2014-04-21T00:00:00",57099,"NSA  06946",NA,NA,NA,NA
"42","NSABHC0012-58022","NSABHC0012","Atriplex holocarpa",FALSE,"NSA013861","Atriplex holocarpa","Atriplex holocarpa F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/213648","Chenopodiaceae","Atriplex","holocarpa","NA","NA","accepted","Equisetopsida","Atriplex holocarpa","F.Muell.","https://id.biodiversity.org.au/reference/apni/42312","Species","2016-09-15T09:49:34",58022,"NSA013862",NA,NA,NA,NA
"43","NSABHC0023-57099","NSABHC0023","Atriplex limbata",FALSE,"NSA07005","Atriplex limbata","Atriplex limbata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/243872","Chenopodiaceae","Atriplex","limbata","NA","NA","accepted","Equisetopsida","Atriplex limbata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2014-04-21T00:00:00",57099,"NSA  07006",NA,NA,NA,NA
"44","NSABHC0012-53607","NSABHC0012","Atriplex limbata",FALSE,"AUG 000288","Atriplex limbata","Atriplex limbata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/243872","Chenopodiaceae","Atriplex","limbata","NA","NA","accepted","Equisetopsida","Atriplex limbata","Benth.","https://id.biodiversity.org.au/reference/apni/42312","Species","2012-09-19T00:00:00",53607,"not collected",NA,NA,NA,NA
"45","NSABHC0012-58022","NSABHC0012","Atriplex lindleyi subsp. lindleyi",FALSE,"NSA014007","Atriplex lindleyi subsp. lindleyi","Atriplex lindleyi Moq. subsp. lindleyi","Plantae","https://id.biodiversity.org.au/name/apni/229330","Chenopodiaceae","Atriplex","lindleyi","subsp.","lindleyi","accepted","Equisetopsida","Atriplex lindleyi","NA","https://id.biodiversity.org.au/reference/apni/22909","Subspecies","2016-09-15T09:49:34",58022,NA,NA,NA,NA,NA
"46","NSABHC0028-58027","NSABHC0028","Atriplex",TRUE,"NSA013691","Atriplex","Atriplex L.","Plantae","https://id.biodiversity.org.au/name/apni/240089","Chenopodiaceae","Atriplex","NA","NA","NA","accepted","Equisetopsida","Atriplex NA","L.","https://id.biodiversity.org.au/reference/apni/42312","Genus","2016-09-12T13:10:42",58027,"NSA013692",NA,NA,NA,NA
"47","NSABHC0024-57100","NSABHC0024","Atriplex stipitata",FALSE,"NSA07214","Atriplex stipitata","Atriplex stipitata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227142","Chenopodiaceae","Atriplex","stipitata","NA","NA","accepted","Equisetopsida","Atriplex stipitata","Benth.","https://id.biodiversity.org.au/reference/apni/51428473","Species","2014-04-22T00:00:00",57100,"NSA  07215",NA,NA,NA,NA
"48","NSABHC0023-57099","NSABHC0023","Atriplex stipitata",FALSE,"NSA06997","Atriplex stipitata","Atriplex stipitata Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227142","Chenopodiaceae","Atriplex","stipitata","NA","NA","accepted","Equisetopsida","Atriplex stipitata","Benth.","https://id.biodiversity.org.au/reference/apni/51428473","Species","2014-04-21T00:00:00",57099,"NSA  06998",NA,NA,NA,NA
"49","NSABHC0009-58026","NSABHC0009","Atriplex vesicaria",FALSE,"NSA013639","Atriplex vesicaria","Atriplex vesicaria Heward ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Atriplex","vesicaria","NA","NA","accepted","Equisetopsida","Atriplex vesicaria","Heward ex Benth.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013640",NA,NA,NA,NA
"50","NSABHC0009-58026","NSABHC0009","Atriplex vesicaria",FALSE,"NSA013579","Atriplex vesicaria","Atriplex vesicaria Heward ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Atriplex","vesicaria","NA","NA","accepted","Equisetopsida","Atriplex vesicaria","Heward ex Benth.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013580","NSA013577","NSA013578","NSA013575","NSA013576"
"51","NSABHC0009-58026","NSABHC0009","Atriplex vesicaria",FALSE,"NSA013679","Atriplex vesicaria","Atriplex vesicaria Heward ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Atriplex","vesicaria","NA","NA","accepted","Equisetopsida","Atriplex vesicaria","Heward ex Benth.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013680",NA,NA,NA,NA
"52","NSABHC0010-53605","NSABHC0010","Atriplex vesicaria",FALSE,"NSA01815","Atriplex vesicaria","Atriplex vesicaria Heward ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Atriplex","vesicaria","NA","NA","accepted","Equisetopsida","Atriplex vesicaria","Heward ex Benth.","https://id.biodiversity.org.au/reference/apni/42942","Species","2012-09-04T00:00:00",53605,"NSA01816",NA,NA,NA,NA
"53","NSABHC0028-58027","NSABHC0028","Atriplex vesicaria",FALSE,"NSA013503","Atriplex vesicaria","Atriplex vesicaria Heward ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/189772","Chenopodiaceae","Atriplex","vesicaria","NA","NA","accepted","Equisetopsida","Atriplex vesicaria","Heward ex Benth.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-12T13:10:42",58027,"NSA013504",NA,NA,NA,NA
"54","NSABHC0014-53609","NSABHC0014","Austrostipa drummondii",FALSE,"NSA05644","Austrostipa drummondii","Austrostipa drummondii (Steud.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/204808","Poaceae","Austrostipa","drummondii","NA","NA","accepted","Equisetopsida","Austrostipa drummondii","(Steud.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/46762","Species","2012-09-21T00:00:00",53609,"NSA05645",NA,NA,NA,NA
"55","NSABHC0009-53604","NSABHC0009","Austrostipa drummondii",FALSE,"NSA01548","Austrostipa drummondii","Austrostipa drummondii (Steud.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/204808","Poaceae","Austrostipa","drummondii","NA","NA","accepted","Equisetopsida","Austrostipa drummondii","(Steud.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/46762","Species","2012-09-03T00:00:00",53604,"NSA01549",NA,NA,NA,NA
"56","NSABHC0013-53608","NSABHC0013","Austrostipa drummondii",FALSE,"NSA05483","Austrostipa drummondii","Austrostipa drummondii (Steud.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/204808","Poaceae","Austrostipa","drummondii","NA","NA","accepted","Equisetopsida","Austrostipa drummondii","(Steud.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/46762","Species","2012-09-20T00:00:00",53608,"NSA05484",NA,NA,NA,NA
"57","NSABHC0029-58028","NSABHC0029","Austrostipa nodosa",FALSE,"NSA013369","Austrostipa nodosa","Austrostipa nodosa (S.T.Blake) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/243878","Poaceae","Austrostipa","nodosa","NA","NA","accepted","Equisetopsida","Austrostipa nodosa","(S.T.Blake) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/46762","Species","2016-09-12T15:35:12",58028,"NSA013370",NA,NA,NA,NA
"58","NSABHC0011-53606","NSABHC0011","Austrostipa scabra",FALSE,"NSA01941","Austrostipa scabra","Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/198380","Poaceae","Austrostipa","scabra","NA","NA","accepted","Equisetopsida","Austrostipa scabra","(Lindl.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/40101","Species","2012-09-18T00:00:00",53606,"NSA01942",NA,NA,NA,NA
"59","NSABHC0009-53604","NSABHC0009","Austrostipa scabra",FALSE,"AUG 000280","Austrostipa scabra","Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/198380","Poaceae","Austrostipa","scabra","NA","NA","accepted","Equisetopsida","Austrostipa scabra","(Lindl.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/40101","Species","2012-09-03T00:00:00",53604,"not collected",NA,NA,NA,NA
"60","NSABHC0013-53608","NSABHC0013","Austrostipa scabra",FALSE,"AUG 000290","Austrostipa scabra","Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/198380","Poaceae","Austrostipa","scabra","NA","NA","accepted","Equisetopsida","Austrostipa scabra","(Lindl.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/40101","Species","2012-09-20T00:00:00",53608,"not collected","NSA 005183","NSA 005184","NSA 005185","NSA 005186"
"61","NSABHC0029-58028","NSABHC0029","Austrostipa trichophylla",FALSE,"NSA013349","Austrostipa trichophylla","Austrostipa trichophylla (Benth.) S.W.L.Jacobs & J.Everett","Plantae","https://id.biodiversity.org.au/name/apni/202275","Poaceae","Austrostipa","trichophylla","NA","NA","accepted","Equisetopsida","Austrostipa trichophylla","(Benth.) S.W.L.Jacobs & J.Everett","https://id.biodiversity.org.au/reference/apni/40101","Species","2016-09-12T15:35:12",58028,"NSA013350",NA,NA,NA,NA
