"","site_unique","site_location_name","herbarium_determination","is_uncertain_determination","veg_barcode","standardised_name","standardised_scientific_name","kingdom","taxa_id","family","genus","specific_epithet","infraspecific_rank","infraspecific_epithet","taxa_status","taxa_group","genus_species","authorship","published_in","rank","visit_start_date","site_location_visit_id","primary_gen_barcode","secondary_gen_barcode_1","secondary_gen_barcode_2","secondary_gen_barcode_3","secondary_gen_barcode_4"
"1","NSABHC0012-58022","NSABHC0012","Abutilon",TRUE,"NSA013842","Abutilon","Abutilon Mill.","Plantae","https://id.biodiversity.org.au/name/apni/198380","Malvaceae","Abutilon","NA","NA","NA","accepted","Equisetopsida","Abutilon NA","Mill.","https://id.biodiversity.org.au/reference/apni/46762","Genus","2016-09-15T09:49:34",58022,NA,NA,NA,NA,NA
"2","NSABHC0023-57099","NSABHC0023","Acacia aneura",FALSE,"NSA06969","Acacia aneura","Acacia aneura F.Muell. ex Benth.","Plantae","https://id.biodiversity.org.au/name/apni/206450","Fabaceae","Acacia","aneura","NA","NA","accepted","Equisetopsida","Acacia aneura","F.Muell. ex Benth.","https://id.biodiversity.org.au/reference/apni/53841","Species","2014-04-21T00:00:00",57099,"NSA  06970",NA,NA,NA,NA
"3","NSABHC0023-57099","NSABHC0023","Abutilon fraseri",FALSE,"NSA06993","Abutilon fraseri","Abutilon fraseri (Hook.) Walp.","Plantae","https://id.biodiversity.org.au/name/apni/239953","Malvaceae","Abutilon","fraseri","NA","NA","accepted","Equisetopsida","Abutilon fraseri","(Hook.) Walp.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2014-04-21T00:00:00",57099,"NSA  06994",NA,NA,NA,NA
"4","NSABHC0029-58028","NSABHC0029","Abutilon fraseri",FALSE,"NSA013717","Abutilon fraseri","Abutilon fraseri (Hook.) Walp.","Plantae","https://id.biodiversity.org.au/name/apni/239953","Malvaceae","Abutilon","fraseri","NA","NA","accepted","Equisetopsida","Abutilon fraseri","(Hook.) Walp.","https://id.biodiversity.org.au/reference/apni/9787312","Species","2016-09-12T15:35:12",58028,"NSA013718",NA,NA,NA,NA
"5","NSABHC0024-57100","NSABHC0024","Acacia loderi",FALSE,"NSA07200","Acacia loderi","Acacia loderi Maiden","Plantae","https://id.biodiversity.org.au/name/apni/179519","Fabaceae","Acacia","loderi","NA","NA","accepted","Equisetopsida","Acacia loderi","Maiden","https://id.biodiversity.org.au/reference/apni/42942","Species","2014-04-22T00:00:00",57100,"NSA  07201","NSA  07040","NSA  07041","NSA  07042","NSA  07043"
"6","NSABHC0009-58026","NSABHC0009","Acacia loderi",FALSE,"NSA013531","Acacia loderi","Acacia loderi Maiden","Plantae","https://id.biodiversity.org.au/name/apni/179519","Fabaceae","Acacia","loderi","NA","NA","accepted","Equisetopsida","Acacia loderi","Maiden","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-13T11:11:06",58026,"NSA013532",NA,NA,NA,NA
"7","NSABHC0012-58022","NSABHC0012","Abutilon halophilum",FALSE,"NSA013783","Abutilon halophilum","Abutilon halophilum F.Muell. ex Schltdl.","Plantae","https://id.biodiversity.org.au/name/apni/238071","Malvaceae","Abutilon","halophilum","NA","NA","accepted","Equisetopsida","Abutilon halophilum","F.Muell. ex Schltdl.","https://id.biodiversity.org.au/reference/apni/52462","Species","2016-09-15T09:49:34",58022,"NSA013784",NA,NA,NA,NA
"8","NSABHC0012-53607","NSABHC0012","Abutilon halophilum",FALSE,"NSA05427","Abutilon halophilum","Abutilon halophilum F.Muell. ex Schltdl.","Plantae","https://id.biodiversity.org.au/name/apni/238071","Malvaceae","Abutilon","halophilum","NA","NA","accepted","Equisetopsida","Abutilon halophilum","F.Muell. ex Schltdl.","https://id.biodiversity.org.au/reference/apni/52462","Species","2012-09-19T00:00:00",53607,"NSA05428",NA,NA,NA,NA
"9","NSABHC0028-58027","NSABHC0028","Acacia tetragonophylla",FALSE,"NSA013443","Acacia tetragonophylla","Acacia tetragonophylla F.Muell.","Plantae","https://id.biodiversity.org.au/name/apni/233417","Fabaceae","Acacia","tetragonophylla","NA","NA","accepted","Equisetopsida","Acacia tetragonophylla","F.Muell.","https://id.biodiversity.org.au/reference/apni/42942","Species","2016-09-12T13:10:42",58027,"NSA013444",NA,NA,NA,NA
"10","NSABHC0012-53607","NSABHC0012","Acacia victoriae",FALSE,"NSA05067","Acacia victoriae","Acacia victoriae Benth.","Plantae","https://id.biodiversity.org.au/name/apni/227143","Fabaceae","Acacia","victoriae","NA","NA","accepted","Equisetopsida","Acacia victoriae","Benth.","https://id.biodiversity.org.au/reference/apni/53841","Species","2012-09-19T00:00:00",53607,"NSA05068",NA,NA,NA,NA
