Taxon ID,scientificName,commonName,EPBC_Status,EPBC_Name,EPBC_Effective_Date,ConservationAdviceDate,Family,Genus,NSW_Status,NSW_Name,SA_Status,SA_Name,IUCN_Status,IUCN_Name,NSW,SA
5547,Abelmoschus ficulneus, ,,,,,Malvaceae,Abelmoschus,,,,,Least Concern,Abelmoschus ficulneus,,
12940,Abelmoschus moschatus, ,,,,,Malvaceae,Abelmoschus,,,,,Least Concern,Abelmoschus moschatus,,
81927,Abudefduf bengalensis,Bengal sergeant,,,,,Pomacentridae,Abudefduf,,,,,Least Concern,Abudefduf bengalensis,,
81928,Abudefduf sexfasciatus,Scissor-tail sergeant,,,,,Pomacentridae,Abudefduf,,,,,Least Concern,Abudefduf sexfasciatus,,
81929,Abudefduf sordidus,Blackspot sergeant,,,,,Pomacentridae,Abudefduf,,,,,Least Concern,Abudefduf sordidus,,
81930,Abudefduf vaigiensis,Indo-Pacific sergeant,,,,,Pomacentridae,Abudefduf,,,,,Least Concern,Abudefduf vaigiensis,,
81931,Abudefduf whitleyi,"Indo-Pacific sergeant, Whitley's sergeant",,,,,Pomacentridae,Abudefduf,,,,,Least Concern,Abudefduf whitleyi,,
27797,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Abutilon julianae,25-Nov-03,,Malvaceae,Abutilon,,,,,,,,
91271,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),Swamp Chinese-lantern,,,,,Malvaceae,Abutilon,,,Rare,Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),,,,
7210,Acacia acanthoclada,Harrow Wattle,,,,,Fabaceae,Acacia,Endangered,Acacia acanthoclada,,,,,Present,
12418,Acacia acradenia, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia acradenia,,
55149,Acacia acrionastes,Pindari Wattle,,,,,Fabaceae,Acacia,Endangered,Acacia acrionastes,,,,,Present,
19323,Acacia acuminata,"Raspberry Jam, Jam",,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia acuminata,,
15284,Acacia adsurgens, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia adsurgens,,
21126,Acacia adunca,"Wallangarra Wattle, Cascade Wattle",,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia adunca,,
75030,Acacia aemula, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia aemula,,
15869,Acacia aestivalis, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia aestivalis,,
91049,Acacia alaticaulis,a wattle,,,,,Fabaceae,Acacia,,,,,,,Present,
4732,Acacia alcockii, ,,,,,Fabaceae,Acacia,,,Rare,Acacia alcockii,,,,
18723,Acacia alleniana, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia alleniana,,
12605,Acacia alpina,Alpine Wattle,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia alpina,,
18537,Acacia amblyophylla, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia amblyophylla,,
13734,Acacia ammobia, ,,,,,Fabaceae,Acacia,,,Rare,Acacia ammobia,Least Concern,Acacia ammobia,,
3763,Acacia ammophila, ,Vulnerable,Acacia ammophila,16-Jul-00,1-Oct-08,Fabaceae,Acacia,,,,,,,,
2299,Acacia ampliceps,"Salt Wattle, Jila Jila, Nyarlka",,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia ampliceps,,
5912,Acacia anastema, ,,,,,Fabaceae,Acacia,,,,,Least Concern,Acacia anastema,,
