Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
47031.00,1916.00,1.80,0.00,1.00,6.90,10.60,17.60,59.70,13.60,61.60,24.90,14.30,8.90,220.90
47031.00,1917.00,80.70,71.70,10.10,1.50,7.70,9.20,43.50,37.20,17.20,15.40,56.30,3.10,353.60
47031.00,1918.00,34.10,0.80,11.30,37.90,70.90,6.90,5.90,15.50,5.10,13.70,0.00,0.00,202.10
47031.00,1919.00,2.80,49.30,0.00,12.00,83.50,0.50,0.30,4.10,1.30,6.90,11.80,14.90,187.40
47031.00,1920.00,4.60,1.50,0.00,9.60,4.40,28.40,2.00,24.10,53.40,56.10,19.60,22.10,225.80
47031.00,1921.00,3.30,84.10,53.30,55.10,58.20,45.90,2.10,11.70,16.50,10.50,27.40,15.40,383.50
47031.00,1922.00,5.10,17.30,0.00,16.80,22.60,22.60,16.50,3.70,6.10,5.60,0.00,16.80,133.10
47031.00,1923.00,3.60,1.10,5.10,0.00,27.20,77.40,22.30,3.90,4.80,5.10,0.00,39.00,189.50
47031.00,1924.00,24.60,5.10,4.10,0.00,0.00,4.50,0.00,10.20,24.10,7.40,38.40,19.10,137.50
47031.00,1925.00,26.70,14.20,21.80,9.10,58.00,2.50,28.20,3.80,11.40,1.50,4.90,0.00,182.10
47031.00,1926.00,26.70,0.00,60.20,9.30,29.00,35.60,4.80,30.50,24.90,0.00,0.00,4.00,225.00
47031.00,1927.00,7.70,3.00,3.80,0.00,1.00,5.00,0.00,0.00,3.00,22.30,14.00,11.70,71.50
47031.00,1928.00,2.30,97.90,22.90,6.90,2.50,30.90,36.30,0.00,0.80,3.00,0.50,0.00,204.00
47031.00,1929.00,1.50,1.50,4.90,18.60,0.00,0.00,0.00,7.60,10.20,0.00,16.50,38.10,98.90
47031.00,1930.00,0.00,43.30,3.80,6.10,22.60,0.00,2.50,11.90,11.40,33.50,11.50,39.90,186.50
47031.00,1931.00,0.00,0.00,18.80,98.10,10.90,39.90,10.70,0.00,13.50,15.00,5.80,0.00,212.70
47031.00,1932.00,0.00,32.50,3.80,24.60,16.80,13.00,8.60,15.20,10.40,7.10,27.40,10.70,170.10
47031.00,1933.00,0.00,8.10,14.00,4.60,5.10,1.50,6.40,6.80,11.40,4.80,90.70,26.10,179.50
47031.00,1934.00,2.60,1.30,9.70,12.20,0.00,2.50,41.90,6.10,7.40,46.20,42.40,0.00,172.30
47031.00,1935.00,0.80,7.10,10.00,26.60,0.80,4.80,2.40,2.50,34.10,19.50,5.80,27.20,141.60
47031.00,1936.00,49.00,4.40,4.80,1.10,38.10,3.80,36.70,23.90,4.60,14.80,5.70,68.40,255.30
47031.00,1937.00,56.70,29.30,2.10,0.50,12.00,32.80,0.00,26.90,1.00,22.60,6.10,36.10,226.10
47031.00,1938.00,3.10,9.40,0.00,0.50,9.70,5.40,17.70,13.00,0.80,79.20,1.00,0.00,139.80
47031.00,1939.00,5.30,121.70,47.80,43.20,21.90,21.60,6.50,6.60,1.80,10.50,60.10,0.00,347.00
47031.00,1940.00,1.80,0.00,1.00,45.50,7.10,0.50,4.30,1.60,3.50,0.80,0.00,2.30,68.40
47031.00,1941.00,74.00,3.30,12.50,1.00,0.00,10.80,16.20,2.60,7.80,14.90,13.20,5.30,161.60
47031.00,1942.00,5.90,53.60,0.00,3.30,55.60,26.80,20.40,10.80,2.90,31.30,0.00,7.90,218.50
47031.00,1943.00,3.00,21.10,0.80,11.20,2.40,8.40,14.30,11.00,13.20,17.40,10.10,0.00,112.90
47031.00,1944.00,8.60,19.30,2.30,8.40,5.30,6.40,7.60,33.50,1.30,3.60,2.80,23.60,122.70
47031.00,1945.00,0.00,2.50,2.00,1.30,3.80,21.20,23.90,14.30,7.90,23.10,8.40,18.30,126.70
47031.00,1946.00,61.80,59.70,0.50,1.30,3.40,26.50,6.10,1.30,7.30,2.50,34.90,16.30,221.60
47031.00,1947.00,1.30,131.10,79.30,5.20,4.00,5.30,21.60,15.70,53.10,15.20,30.50,8.10,370.40
47031.00,1948.00,0.00,21.70,0.00,18.30,10.90,11.20,1.00,10.20,6.10,14.50,4.80,100.30,199.00
47031.00,1949.00,0.00,33.00,59.50,3.80,27.70,9.60,17.60,6.10,28.20,34.90,16.00,3.80,240.20
47031.00,1950.00,0.00,123.00,59.20,0.00,21.20,38.80,60.90,6.40,2.10,22.80,26.30,24.60,385.30
47031.00,1951.00,4.60,16.20,0.00,6.40,2.80,27.10,10.90,9.90,47.50,18.90,6.90,2.10,153.30
47031.00,1952.00,12.00,0.00,21.50,31.30,31.20,5.40,23.70,11.20,25.40,35.40,15.70,1.30,214.10
47031.00,1953.00,77.00,3.60,4.30,1.80,1.30,0.80,2.00,11.90,19.70,32.90,4.30,9.10,168.70
47031.00,1954.00,21.60,0.00,0.00,28.70,0.00,1.80,0.00,0.00,6.40,18.50,64.60,78.50,220.10
47031.00,1955.00,7.60,88.20,34.50,10.90,79.60,15.20,11.30,49.70,30.50,17.00,21.60,0.50,366.60
47031.00,1956.00,15.20,17.80,94.50,25.80,23.40,25.30,70.00,3.20,24.60,9.10,4.10,0.80,313.80
47031.00,1957.00,0.00,19.10,17.00,5.10,0.50,26.50,10.00,31.00,0.50,4.80,4.10,27.30,145.90
47031.00,1958.00,16.50,1.30,28.50,18.40,6.80,0.80,15.90,35.20,3.40,38.30,109.80,42.40,317.30
47031.00,1959.00,0.80,1.80,16.30,1.00,20.10,2.00,12.30,22.30,7.40,32.40,0.00,11.00,127.40
47031.00,1960.00,58.00,20.40,2.30,4.50,24.50,1.60,30.80,3.80,20.60,1.50,52.00,2.10,222.10
47031.00,1961.00,34.30,0.30,0.50,38.20,0.80,15.50,25.00,6.70,6.50,11.70,64.30,14.30,218.10
47031.00,1962.00,116.10,3.30,16.60,1.30,34.70,1.90,9.70,8.10,0.00,20.90,1.30,97.60,311.50
47031.00,1963.00,25.90,4.10,7.60,11.20,63.70,48.40,9.40,16.10,5.30,8.40,3.00,13.00,216.10
47031.00,1964.00,6.20,0.00,0.00,21.90,5.70,2.80,4.60,17.80,94.50,43.70,0.80,4.90,202.90
47031.00,1965.00,0.00,0.00,1.30,0.00,13.90,24.40,5.40,26.90,9.50,10.50,2.40,45.00,139.30
47031.00,1966.00,15.00,21.10,10.20,0.50,5.40,3.30,13.60,16.30,1.80,11.40,19.50,47.30,165.40
47031.00,1967.00,15.30,27.20,12.20,0.00,3.00,9.70,1.10,2.60,0.50,13.80,1.00,0.00,86.40
47031.00,1968.00,75.00,1.30,13.20,31.80,67.80,15.00,18.30,14.50,3.80,4.00,10.20,14.90,269.80
47031.00,1969.00,10.50,11.00,47.60,1.80,15.00,12.70,18.80,2.30,12.20,10.90,1.50,4.10,148.40
47031.00,1970.00,19.10,4.60,3.80,43.20,1.80,0.80,1.50,10.40,24.40,2.00,14.00,9.10,134.70
47031.00,1971.00,0.00,20.40,45.70,46.50,9.30,4.10,25.40,15.50,31.90,0.00,25.40,15.70,239.90
47031.00,1972.00,67.30,6.90,0.00,18.30,1.30,3.60,5.60,21.70,7.10,18.30,0.30,3.60,154.00
47031.00,1973.00,6.80,36.40,18.60,27.40,7.80,22.40,24.30,49.10,5.30,92.40,57.60,53.60,401.70
47031.00,1974.00,177.80,49.20,32.40,190.60,74.80,12.40,20.80,29.20,31.10,61.20,29.20,3.60,712.30
47031.00,1975.00,8.80,25.20,10.40,3.00,2.80,1.60,11.20,36.60,38.30,97.40,5.80,107.80,348.90
47031.00,1976.00,65.60,116.20,1.20,32.60,0.00,1.40,18.40,1.00,14.80,39.20,13.80,2.80,307.00
47031.00,1977.00,18.60,14.40,8.00,0.00,11.30,16.20,1.00,0.80,24.90,18.60,16.30,2.60,132.70
47031.00,1978.00,9.00,0.00,15.70,1.00,29.00,50.60,24.10,36.80,107.80,39.30,45.50,0.00,358.80
47031.00,1979.00,25.40,51.80,26.80,13.60,44.00,16.70,2.40,28.00,51.30,15.60,12.10,4.20,291.90
47031.00,1980.00,7.80,13.40,0.00,74.70,24.40,15.70,18.00,27.10,1.50,22.20,19.40,4.00,228.20
47031.00,1981.00,9.20,12.40,1.20,0.00,76.80,15.40,41.20,5.40,13.60,11.40,16.10,14.60,217.30
47031.00,1982.00,20.80,0.00,23.20,2.00,1.00,3.60,1.60,0.60,18.00,0.20,0.00,0.20,71.20
47031.00,1983.00,0.60,13.40,17.80,19.80,14.20,3.20,25.80,34.60,6.60,75.60,66.80,103.60,382.00
47031.00,1984.00,91.00,0.80,8.80,56.20,1.00,7.00,35.40,13.20,9.80,13.00,1.40,7.00,244.60
47031.00,1985.00,3.80,0.00,4.00,4.40,48.60,15.80,1.80,44.20,1.20,43.00,18.00,14.60,199.40
47031.00,1986.00,0.00,2.40,0.00,0.40,20.20,0.80,15.00,28.40,24.20,48.80,7.80,38.60,186.60
47031.00,1987.00,29.40,36.40,39.80,1.20,11.60,39.40,8.30,50.20,30.80,10.80,12.60,50.80,321.30
47031.00,1988.00,7.20,0.20,58.50,29.40,49.20,27.20,33.40,2.80,11.00,2.00,7.50,30.40,258.80
47031.00,1989.00,4.20,0.00,199.20,29.20,97.60,15.60,26.80,4.80,0.00,5.00,6.60,5.20,394.20
47031.00,1990.00,35.60,5.60,1.60,40.60,61.60,4.80,42.80,3.60,9.60,9.60,0.00,0.00,215.40
47031.00,1991.00,21.60,0.00,1.20,5.20,17.40,27.10,22.00,14.00,3.00,0.00,19.80,3.20,134.50
47031.00,1992.00,0.00,34.60,0.00,20.20,33.20,8.80,2.40,35.40,41.60,24.10,75.80,190.10,466.20
47031.00,1993.00,91.40,8.60,2.80,0.30,23.20,2.40,43.60,3.60,43.80,77.80,36.00,121.40,454.90
47031.00,1994.00,2.20,89.20,0.00,0.00,3.80,15.80,3.40,0.40,8.40,10.40,0.00,5.10,138.70
47031.00,1995.00,21.40,8.50,0.00,0.00,33.60,23.90,8.90,0.00,30.90,50.40,31.10,6.80,215.50
47031.00,1996.00,25.40,17.00,64.60,0.00,5.60,10.40,55.20,23.60,25.30,11.00,15.20,23.00,276.30
47031.00,1997.00,21.80,34.20,0.40,0.00,37.80,2.60,0.00,12.40,35.70,25.60,16.20,14.20,200.90
47031.00,1998.00,113.60,12.20,1.80,6.20,0.00,7.40,46.20,9.60,17.20,10.00,17.80,7.80,249.80
47031.00,1999.00,2.00,10.40,20.20,0.00,5.80,5.70,26.40,5.00,7.80,38.00,37.60,33.00,191.90
47031.00,2000.00,0.40,143.00,1.00,60.40,16.20,5.00,8.80,14.80,25.60,31.80,37.80,12.60,357.40
47031.00,2001.00,2.20,17.20,3.00,0.00,9.00,32.20,16.80,1.60,42.80,,0.60,0.00,
47031.00,2002.00,8.10,12.00,1.60,18.60,5.60,1.40,2.20,3.20,3.40,0.00,2.40,6.80,65.30
47031.00,2003.00,2.00,41.60,0.00,4.20,48.80,13.00,18.60,41.20,0.20,31.40,12.00,49.80,262.80
47031.00,2004.00,0.00,8.00,0.00,0.20,5.20,23.00,1.60,42.80,24.20,21.60,26.40,26.60,179.60
47031.00,2005.00,11.00,0.80,1.20,0.60,0.80,35.20,41.80,5.60,40.00,20.80,30.80,0.60,189.20
47031.00,2006.00,21.40,5.40,4.80,10.20,0.60,14.60,24.60,1.80,2.00,0.80,10.80,1.80,98.80
47031.00,2007.00,49.80,31.60,13.60,13.00,59.00,7.20,1.00,0.00,0.00,18.80,40.60,12.00,246.60
47031.00,2008.00,21.20,1.80,4.60,2.00,2.40,76.40,8.20,14.40,24.60,1.20,26.20,32.80,215.80
47031.00,2009.00,1.80,1.20,10.60,5.40,6.20,15.40,11.80,5.80,3.40,1.20,48.30,16.80,127.90
47031.00,2010.00,9.00,122.00,70.60,17.60,37.20,15.80,21.80,11.40,31.80,89.40,62.80,33.60,523.00
47031.00,2011.00,151.80,146.00,81.60,14.40,24.20,2.00,12.40,11.00,2.20,32.00,52.60,66.20,596.40
47031.00,2012.00,124.40,48.80,92.20,0.60,0.00,8.60,42.40,5.00,1.80,2.80,40.00,3.00,369.60
47031.00,2013.00,0.00,21.20,11.20,5.40,22.80,65.20,8.80,1.80,9.20,6.20,6.20,15.00,173.00
47031.00,2014.00,1.00,9.40,26.40,79.60,27.60,18.70,3.60,44.80,34.00,0.00,21.20,0.80,267.10
47031.00,2015.00,142.60,0.00,0.00,32.40,9.80,35.20,7.60,27.20,6.00,3.80,20.60,21.80,307.00
47031.00,2016.00,10.60,0.00,31.40,26.40,59.00,9.60,24.40,45.60,132.00,14.40,13.20,58.20,424.80
47031.00,2017.00,26.40,0.60,0.40,15.00,4.60,2.60,1.00,27.20,2.40,19.40,11.10,14.60,125.30
47031.00,2018.00,6.50,0.90,0.00,3.00,6.30,5.40,0.60,6.80,0.00,18.80,29.40,12.20,89.90
47031.00,2019.00,15.40,5.40,25.40,2.20,11.00,6.10,8.40,0.00,2.40,10.00,3.00,0.00,89.30
