Bore,Northings,Eastings,Elevation
Mandelman Bore,579957,6566137,141.0
Gap Creek,562219,6557144,192.0
Nelia Dam,570688,6556159,197
Warrens Tank,576188,6559590,154
Bald Hills,568571,6573795,240
Sandstone Bore,570253,6566321,180
Johnstons Tank,572572,6569435,167
Freislich Dam/Tank,564060,6562672,214
South Sandstone,563594,6564981,225
Air Strip,564367,6561214,213
Homestead Creek,566118,6561071,189
Beadle,564493,6571434,239
Mating,574534,6561476,161
Saloon Tank/Salt 3,579600,6562928,137
North Mandelman,585776,6569466,125
Gap Hills,573430,6575929,149
Sandstone Tank,565560,6568887,230
