,herbarium_determination,site_unique
74,Dichanthium sericeum subsp. sericeum,NSABHC0009-58026
75,Digitaria brownii,"NSABHC0010-53605, NSABHC0009-53604"
76,Digitaria divaricatissima,NSABHC0012-53607
77,Digitaria divaricatissima var. divaricatissima,"NSABHC0012-53607, NSABHC0012-58022"
78,Disphyma crassifolium subsp. clavellatum,NSABHC0009-53604
79,Dissocarpus biflorus var. biflorus,"NSABHC0012-53607, NSABHC0012-58022, NSABHC0009-53604"
80,Dissocarpus paradoxus,NSABHC0011-53606
81,Enchylaena tomentosa,NSABHC0029-58028
82,Enchylaena tomentosa var. tomentosa,"NSABHC0009-58026, NSABHC0028-58027"
83,Enneapogon,NSABHC0029-58028
84,Enneapogon avenaceus,"NSABHC0012-58022, NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-53607, NSABHC0010-53605, NSABHC0009-58026"
85,Enneapogon cylindricus,NSABHC0028-58027
86,Enneapogon nigricans,"NSABHC0011-53606, NSABHC0010-53605"
87,Enneapogon polyphyllus,NSABHC0009-58026
88,Enteropogon acicularis,"NSABHC0009-53604, NSABHC0009-58026"
89,Eragrostis barrelieri,NSABHC0010-53605
90,Eragrostis dielsii,"NSABHC0029-58028, NSABHC0012-53607, NSABHC0009-53604, NSABHC0010-53605, NSABHC0011-53606, NSABHC0012-58022"
91,Eragrostis minor,NSABHC0029-58028
92,Eragrostis setifolia,"NSABHC0012-53607, NSABHC0011-53606"
93,Erigeron bonariensis,NSABHC0029-58028
94,Erodium,NSABHC0009-53604
95,Erodium aureum,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0028-58027"
96,Erodium carolinianum,"NSABHC0012-58022, NSABHC0009-58026"
97,Erodium cicutarium,NSABHC0009-53604
98,Erodium crinitum,"NSABHC0010-53605, NSABHC0012-58022, NSABHC0012-53607, NSABHC0011-53606, NSABHC0009-58026, NSABHC0029-58028"
99,Eucalyptus camaldulensis subsp. arida,NSABHC0029-58028
100,Eucalyptus gillii,NSABHC0028-58027
101,Eucalyptus gillii intergrading with e. socialis,NSABHC0028-58027
102,Euphorbia australis var. erythrantha,NSABHC0028-58027
103,Euphorbia dallachyana,NSABHC0029-58028
104,Euphorbia drummondii,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607"
105,Euphorbia ferdinandi var. appendiculata,NSABHC0028-58027
106,Euphorbia stevenii,"NSABHC0009-53604, NSABHC0009-58026, NSABHC0012-58022"
107,Gnephosis arachnoidea,"NSABHC0009-58026, NSABHC0012-53607, NSABHC0009-53604, NSABHC0012-58022"
108,Goodenia fascicularis,NSABHC0011-53606
109,Goodenia pinnatifida,"NSABHC0009-53604, NSABHC0009-58026"
110,Goodenia pusilliflora,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0009-58026"
111,Hibiscus brachysiphonius,NSABHC0009-58026
112,Indeterminate,NSABHC0012-58022
113,Isoetopsis graminifolia,NSABHC0009-53604
114,Ixiochlamys cuneifolia,NSABHC0028-58027
115,Ixiochlamys nana,NSABHC0009-53604
116,Leiocarpa leptolepis,"NSABHC0009-58026, NSABHC0012-53607, NSABHC0009-53604, NSABHC0012-58022"
117,Leiocarpa tomentosa,"NSABHC0009-53604, NSABHC0009-58026"
118,Leiocarpa websteri,"NSABHC0012-58022, NSABHC0009-58026, NSABHC0011-53606, NSABHC0012-53607"
119,Lemooria burkittii,"NSABHC0009-58026, NSABHC0009-53604, NSABHC0010-53605"
120,Leontodon rhagadioloides,"NSABHC0012-58022, NSABHC0029-58028, NSABHC0011-53606, NSABHC0010-53605"
121,Lepidium oxytrichum,"NSABHC0009-58026, NSABHC0012-53607, NSABHC0012-58022"
122,Lepidium papillosum,"NSABHC0029-58028, NSABHC0028-58027"
123,Lepidium phlebopetalum,"NSABHC0009-58026, NSABHC0009-53604, NSABHC0011-53606, NSABHC0010-53605"
124,Linum marginale,"NSABHC0009-53604, NSABHC0012-58022, NSABHC0009-58026, NSABHC0012-53607"
125,Lotus cruentus,"NSABHC0009-58026, NSABHC0010-53605, NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-53604, NSABHC0029-58028, NSABHC0012-58022"
126,Maireana aphylla,"NSABHC0012-58022, NSABHC0012-53607"
127,Maireana astrotricha,"NSABHC0012-58022, NSABHC0028-58027, NSABHC0009-53604, NSABHC0012-53607, NSABHC0009-58026, NSABHC0010-53605"
128,Maireana coronata,"NSABHC0009-58026, NSABHC0012-53607, NSABHC0012-58022"
129,Maireana erioclada,NSABHC0028-58027
130,Maireana georgei,NSABHC0012-58022
131,Maireana pentatropis,NSABHC0028-58027
132,Maireana pyramidata,"NSABHC0028-58027, NSABHC0012-58022, NSABHC0012-53607, NSABHC0010-53605, NSABHC0009-53604, NSABHC0009-58026"
133,Maireana schistocarpa,NSABHC0028-58027
134,Maireana tomentosa subsp. urceolata,NSABHC0028-58027
135,Maireana trichoptera,NSABHC0009-53604
136,Maireana turbinata,"NSABHC0012-58022, NSABHC0009-53604, NSABHC0009-58026, NSABHC0012-53607"
137,Malacocera tricornis,"NSABHC0012-58022, NSABHC0011-53606, NSABHC0012-53607"
138,Malvastrum americanum,"NSABHC0012-53607, NSABHC0029-58028, NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-58022"
139,Medicago minima,"NSABHC0029-58028, NSABHC0012-58022"
140,Medicago polymorpha,"NSABHC0012-53607, NSABHC0012-58022, NSABHC0029-58028"
141,Minuria cunninghamii,"NSABHC0009-58026, NSABHC0010-53605, NSABHC0012-53607, NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-58022"
142,Minuria denticulata,NSABHC0012-53607
143,Myoporum montanum,"NSABHC0029-58028, NSABHC0010-53605"
144,Myoporum platycarpum subsp. platycarpum,NSABHC0028-58027
145,Neobassia proceriflora,"NSABHC0009-53604, NSABHC0009-58026"
146,Omphalolappula concava,NSABHC0028-58027
147,Osteocarpum acropterum var. acropterum,"NSABHC0010-53605, NSABHC0012-53607"
148,Osteocarpum acropterum var. deminutum,NSABHC0012-58022
149,Oxalis,NSABHC0009-53604
150,Oxalis perennans,"NSABHC0029-58028, NSABHC0009-58026, NSABHC0012-53607"
151,Panicum decompositum,"NSABHC0012-53607, NSABHC0011-53606, NSABHC0009-53604"
152,Panicum laevinode,NSABHC0009-58026
153,Parietaria cardiostegia,NSABHC0029-58028
154,Pimelea simplex,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607, NSABHC0011-53606"
155,Pimelea simplex subsp. simplex,"NSABHC0028-58027, NSABHC0029-58028"
156,Pittosporum angustifolium,NSABHC0009-58026
157,Plantago drummondii,"NSABHC0009-53604, NSABHC0012-53607, NSABHC0011-53606, NSABHC0010-53605, NSABHC0009-58026, NSABHC0012-58022"
158,Poaceae,"NSABHC0012-53607, NSABHC0010-53605, NSABHC0009-53604, NSABHC0012-58022, NSABHC0009-58026, NSABHC0028-58027, NSABHC0029-58028, NSABHC0011-53606"
159,Podolepis,NSABHC0028-58027
160,Podolepis jaceoides,"NSABHC0011-53606, NSABHC0009-53604"
161,Portulaca intraterranea,"NSABHC0009-53604, NSABHC0012-53607, NSABHC0010-53605"
162,Portulaca oleracea,"NSABHC0009-58026, NSABHC0012-58022"
163,Pseudognaphalium luteoalbum,NSABHC0029-58028
164,Psydrax latifolia,NSABHC0029-58028
165,Pterocaulon sphacelatum,"NSABHC0029-58028, NSABHC0009-58026, NSABHC0010-53605, NSABHC0009-53604"
166,Ptilotus nobilis,NSABHC0009-53604
167,Ptilotus nobilis subsp. nobilis,NSABHC0009-58026
168,Ptilotus obovatus,NSABHC0009-58026
169,Ranunculus pentandrus var. platycarpus,NSABHC0029-58028
170,Reichardia tingitana,NSABHC0010-53605
171,Rhagodia,NSABHC0009-58026
172,Rhagodia spinescens,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0029-58028, NSABHC0012-53607, NSABHC0028-58027, NSABHC0009-58026, NSABHC0012-58022"
173,Rhodanthe corymbiflora,"NSABHC0009-58026, NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607, NSABHC0012-58022"
174,Rhodanthe floribunda,"NSABHC0012-53607, NSABHC0028-58027, NSABHC0011-53606, NSABHC0012-58022"
175,Rhodanthe microglossa,"NSABHC0011-53606, NSABHC0029-58028, NSABHC0010-53605, NSABHC0009-58026, NSABHC0028-58027, NSABHC0012-53607, NSABHC0009-53604"
176,Rhodanthe pygmaea,"NSABHC0028-58027, NSABHC0009-58026, NSABHC0029-58028, NSABHC0012-58022, NSABHC0011-53606"
177,Rhodanthe stricta,"NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-58026, NSABHC0012-58022"
178,Rhodanthe uniflora,"NSABHC0012-53607, NSABHC0009-53604, NSABHC0012-58022, NSABHC0011-53606"
179,Roepera apiculata,NSABHC0028-58027
180,Roepera crenata,NSABHC0028-58027
181,Roepera iodocarpa,"NSABHC0010-53605, NSABHC0012-58022, NSABHC0009-53604, NSABHC0012-53607, NSABHC0009-58026"
182,Roepera ovata,NSABHC0028-58027
183,Roepera prismatotheca,"NSABHC0009-53604, NSABHC0028-58027, NSABHC0009-58026, NSABHC0010-53605"
184,Roepera similis,NSABHC0028-58027
185,Rostraria pumila,"NSABHC0012-58022, NSABHC0010-53605, NSABHC0011-53606, NSABHC0009-58026, NSABHC0029-58028, NSABHC0028-58027"
186,Rytidosperma,NSABHC0011-53606
187,Rytidosperma caespitosum,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607"
188,Rytidosperma setaceum,"NSABHC0009-58026, NSABHC0009-53604, NSABHC0011-53606"
189,Salsola australis,"NSABHC0028-58027, NSABHC0012-58022"
190,Salsola kali var. kali,"NSABHC0012-53607, NSABHC0009-53604"
191,Schismus barbatus,"NSABHC0012-58022, NSABHC0009-58026, NSABHC0010-53605, NSABHC0029-58028, NSABHC0028-58027"
192,Schoenia ramosissima,NSABHC0029-58028
193,Sclerolaena,NSABHC0012-58022
194,Sclerolaena brachyptera,"NSABHC0009-58026, NSABHC0011-53606, NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607, NSABHC0012-58022"
195,Sclerolaena diacantha,NSABHC0028-58027
196,Sclerolaena divaricata,"NSABHC0011-53606, NSABHC0009-58026, NSABHC0012-53607, NSABHC0010-53605, NSABHC0012-58022, NSABHC0009-53604"
197,Sclerolaena eriacantha,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607"
198,Sclerolaena intricata,"NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-53604, NSABHC0012-58022"
199,Sclerolaena lanicuspis,"NSABHC0009-53604, NSABHC0010-53605, NSABHC0009-58026"
200,Sclerolaena longicuspis,"NSABHC0010-53605, NSABHC0012-53607, NSABHC0009-58026, NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-58022"
201,Sclerolaena obliquicuspis,"NSABHC0010-53605, NSABHC0028-58027"
202,Sclerolaena parallelicuspis,NSABHC0009-58026
203,Sclerolaena patenticuspis,"NSABHC0028-58027, NSABHC0012-58022"
204,Sclerolaena ventricosa,"NSABHC0012-58022, NSABHC0010-53605, NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-58026"
205,Senecio cunninghamii var. cunninghamii,NSABHC0012-53607
206,Senecio glossanthus,"NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607"
207,Senecio lanibracteus,"NSABHC0012-58022, NSABHC0009-58026"
208,Sida cunninghamii,NSABHC0012-58022
209,Sida fibulifera,"NSABHC0028-58027, NSABHC0009-58026, NSABHC0009-53604, NSABHC0011-53606"
210,Sida intricata,"NSABHC0010-53605, NSABHC0029-58028, NSABHC0011-53606, NSABHC0012-58022, NSABHC0009-53604, NSABHC0012-53607"
211,Sida petrophila,"NSABHC0009-53604, NSABHC0029-58028, NSABHC0009-58026"
212,Sida trichopoda,"NSABHC0009-58026, NSABHC0012-53607, NSABHC0029-58028, NSABHC0011-53606, NSABHC0009-53604"
213,Sisymbrium erysimoides,"NSABHC0029-58028, NSABHC0028-58027, NSABHC0012-58022"
214,Solanum,"NSABHC0029-58028, NSABHC0012-58022"
215,Solanum ellipticum,"NSABHC0009-58026, NSABHC0009-53604, NSABHC0028-58027, NSABHC0010-53605"
216,Solanum esuriale,"NSABHC0011-53606, NSABHC0012-58022, NSABHC0009-53604, NSABHC0012-53607"
217,Solanum nigrum,NSABHC0029-58028
218,Solanum quadriloculatum,NSABHC0012-53607
219,Sonchus oleraceus,"NSABHC0028-58027, NSABHC0009-53604, NSABHC0012-53607, NSABHC0029-58028, NSABHC0011-53606, NSABHC0009-58026, NSABHC0010-53605, NSABHC0012-58022"
220,Sporobolus actinocladus,"NSABHC0010-53605, NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-58026"
221,Sporobolus caroli,"NSABHC0029-58028, NSABHC0010-53605, NSABHC0009-58026, NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-53604"
222,Stenopetalum lineare,"NSABHC0010-53605, NSABHC0028-58027, NSABHC0029-58028, NSABHC0012-53607"
223,Swainsona,NSABHC0012-58022
224,Synaptantha tillaeacea var. tillaeacea,NSABHC0029-58028
225,Tetragonia eremaea,"NSABHC0009-53604, NSABHC0028-58027, NSABHC0009-58026, NSABHC0011-53606, NSABHC0010-53605"
226,Tetragonia moorei,"NSABHC0012-53607, NSABHC0012-58022"
227,Teucrium racemosum,NSABHC0029-58028
228,Trianthema triquetrum,NSABHC0012-58022
229,Trichanthodium skirrophorum,NSABHC0010-53605
230,Tripogonella loliiformis,"NSABHC0009-58026, NSABHC0012-58022, NSABHC0011-53606, NSABHC0010-53605, NSABHC0009-53604, NSABHC0012-53607"
231,Triraphis mollis,NSABHC0010-53605
232,Verbena supina var. erecta,NSABHC0029-58028
233,Vittadinia,"NSABHC0009-53604, NSABHC0009-58026"
234,Vittadinia cervicularis var. cervicularis,NSABHC0009-53604
235,Vittadinia cuneata var. cuneata,NSABHC0012-53607
236,Vittadinia eremaea,"NSABHC0010-53605, NSABHC0009-53604, NSABHC0028-58027"
237,Vittadinia gracilis,NSABHC0012-58022
238,Vittadinia pterochaeta,"NSABHC0009-53604, NSABHC0009-58026, NSABHC0011-53606, NSABHC0012-58022, NSABHC0012-53607"
239,Vittadinia sp.,NSABHC0012-53607
240,Vittadinia sulcata,"NSABHC0009-58026, NSABHC0009-53604"
241,Wahlenbergia capillaris,"NSABHC0029-58028, NSABHC0012-53607, NSABHC0009-53604"
242,Wahlenbergia gracilenta,"NSABHC0029-58028, NSABHC0012-58022"
243,Wahlenbergia gracilis,NSABHC0009-53604
244,Xanthium spinosum,NSABHC0010-53605
