,herbarium_determination,site_unique
1,Abutilon,"NSABHC0012-58022, NSABHC0009-53604"
2,Abutilon fraseri,NSABHC0029-58028
3,Abutilon fraseri subsp. diplotrichum,NSABHC0009-58026
4,Abutilon halophilum,"NSABHC0012-58022, NSABHC0012-53607"
5,Acacia loderi,"NSABHC0009-58026, NSABHC0009-53604"
6,Acacia tetragonophylla,NSABHC0028-58027
7,Acacia victoriae,"NSABHC0012-53607, NSABHC0029-58028"
8,Alectryon oleifolius subsp. canescens,"NSABHC0029-58028, NSABHC0028-58027"
9,Amyema maidenii,NSABHC0028-58027
10,Anacampseros australiana,NSABHC0009-53604
11,Anemocarpa podolepidium,"NSABHC0009-53604, NSABHC0009-58026"
12,Annual forb,"NSABHC0009-53604, NSABHC0012-58022, NSABHC0011-53606, NSABHC0010-53605, NSABHC0029-58028, NSABHC0012-53607, NSABHC0009-58026, NSABHC0028-58027"
13,Aristida anthoxanthoides,"NSABHC0012-53607, NSABHC0009-58026, NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-58022"
14,Aristida contorta,"NSABHC0010-53605, NSABHC0011-53606"
15,Aristida nitidula,NSABHC0009-58026
16,Arthropodium minus,NSABHC0009-53604
17,Astrebla lappacea,"NSABHC0012-53607, NSABHC0011-53606"
18,Astrebla pectinata,"NSABHC0011-53606, NSABHC0009-53604"
19,Atriplex,NSABHC0028-58027
20,Atriplex angulata,"NSABHC0012-58022, NSABHC0012-53607, NSABHC0009-58026, NSABHC0009-53604"
21,Atriplex conduplicata,"NSABHC0011-53606, NSABHC0012-53607"
22,Atriplex fissivalvis,"NSABHC0010-53605, NSABHC0009-53604, NSABHC0009-58026"
23,Atriplex holocarpa,"NSABHC0012-58022, NSABHC0012-53607, NSABHC0010-53605, NSABHC0011-53606"
24,Atriplex limbata,NSABHC0012-53607
25,Atriplex lindleyi subsp. inflata,NSABHC0012-58022
26,Atriplex lindleyi subsp. lindleyi,NSABHC0012-58022
27,Atriplex vesicaria,"NSABHC0009-58026, NSABHC0010-53605, NSABHC0028-58027, NSABHC0011-53606, NSABHC0012-58022, NSABHC0009-53604, NSABHC0012-53607"
28,Austrostipa drummondii,NSABHC0009-53604
29,Austrostipa nitida,"NSABHC0028-58027, NSABHC0009-58026"
30,Austrostipa nodosa,NSABHC0029-58028
31,Austrostipa scabra,"NSABHC0011-53606, NSABHC0009-53604, NSABHC0010-53605, NSABHC0012-53607"
32,Austrostipa trichophylla,NSABHC0029-58028
33,Bothriochloa macra,"NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-53604"
34,Brachyscome,NSABHC0029-58028
35,Brachyscome ciliaris var. ciliaris,"NSABHC0012-53607, NSABHC0010-53605, NSABHC0029-58028"
36,Brachyscome ciliaris var. lanuginosa,"NSABHC0009-53604, NSABHC0010-53605"
37,Brachyscome dentata,"NSABHC0010-53605, NSABHC0009-58026, NSABHC0012-58022, NSABHC0009-53604, NSABHC0011-53606, NSABHC0012-53607"
38,Brachyscome lineariloba,"NSABHC0029-58028, NSABHC0010-53605, NSABHC0009-53604, NSABHC0012-53607, NSABHC0009-58026, NSABHC0011-53606"
39,Bromus arenarius,"NSABHC0011-53606, NSABHC0009-58026, NSABHC0009-53604"
40,Bulbine,NSABHC0010-53605
41,Bulbine alata,"NSABHC0011-53606, NSABHC0009-58026, NSABHC0012-53607, NSABHC0012-58022, NSABHC0009-53604"
42,Bulbine semibarbata,NSABHC0009-53604
43,Calandrinia eremaea,"NSABHC0012-58022, NSABHC0009-53604, NSABHC0009-58026"
44,Calandrinia volubilis,NSABHC0011-53606
45,Calotis,NSABHC0010-53605
46,Calotis hispidula,"NSABHC0029-58028, NSABHC0011-53606, NSABHC0012-58022, NSABHC0009-53604, NSABHC0012-53607, NSABHC0028-58027, NSABHC0009-58026, NSABHC0010-53605"
47,Calotis plumulifera,"NSABHC0012-58022, NSABHC0029-58028, NSABHC0012-53607"
48,Carrichtera annua,"NSABHC0012-58022, NSABHC0028-58027, NSABHC0012-53607"
49,Carthamus lanatus,"NSABHC0009-58026, NSABHC0029-58028"
50,Casuarina pauper,"NSABHC0009-58026, NSABHC0009-53604"
51,Centaurea,NSABHC0010-53605
52,Centaurea melitensis,"NSABHC0028-58027, NSABHC0029-58028"
53,Centipeda cunninghamii,NSABHC0029-58028
54,Cheilanthes sieberi subsp. sieberi,NSABHC0009-58026
55,Chenopodium curvispicatum,NSABHC0009-58026
56,Chenopodium desertorum subsp. anidiophyllum,NSABHC0028-58027
57,Chenopodium desertorum subsp. rectum,"NSABHC0009-53604, NSABHC0010-53605"
58,Chloris truncata,"NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-53607"
59,Convolvulus,"NSABHC0011-53606, NSABHC0012-53607, NSABHC0009-53604"
60,Convolvulus clementii,NSABHC0012-53607
61,Convolvulus eyreanus,"NSABHC0012-58022, NSABHC0009-58026"
62,Convolvulus remotus,"NSABHC0028-58027, NSABHC0010-53605, NSABHC0009-53604"
63,Corynotheca licrota,NSABHC0009-58026
64,Corynotheca sp.,NSABHC0012-53607
65,Crassula colligata subsp. lamprosperma,NSABHC0009-58026
66,Crassula colorata var. acuminata,"NSABHC0012-58022, NSABHC0009-53604"
67,Cullen australasicum,"NSABHC0009-58026, NSABHC0012-58022"
68,Cullen cinereum,"NSABHC0009-53604, NSABHC0012-53607, NSABHC0011-53606"
69,Cymbopogon ambiguus,"NSABHC0009-53604, NSABHC0012-53607, NSABHC0011-53606, NSABHC0010-53605"
70,Cyperus victoriensis,NSABHC0029-58028
71,Dactyloctenium radulans,"NSABHC0009-53604, NSABHC0012-53607"
72,Daucus glochidiatus,"NSABHC0012-58022, NSABHC0009-53604, NSABHC0029-58028, NSABHC0012-53607, NSABHC0011-53606, NSABHC0028-58027, NSABHC0010-53605, NSABHC0009-58026"
73,Dead tree/shrub,"NSABHC0012-53607, NSABHC0009-58026, NSABHC0010-53605, NSABHC0029-58028, NSABHC0011-53606, NSABHC0009-53604, NSABHC0012-58022, NSABHC0028-58027"
